id,player_name,p_code,nationality,c_code,player_url,created_at,updated_at,gender
172,Alexander Windisch,awind,GER,DEU,/profile-bio/men/Alexander_Windisch/,,,M
174,Juan Carlos Baguena,jcarl_2,ESP,ESP,/profile-bio/men/Juan_Carlos_Baguena/,,,M
176,Julio Noriega,jnori,PER,PER,/profile-bio/men/Julio_Noriega/,,,M
177,Mark Buckley,mbuck,USA,USA,/profile-bio/men/Mark_Buckley/,,,M
181,Adrian Popovici,apopo,ROU,ROM,/profile-bio/men/Adrian_Popovici/,,,M
182,Nicole Strnadova,nstrn,Czech Republic,CZE,/profile-bio/women/Nicole_Strnadova/,,,F
183,Girts Dzelde,gdzel,LAT,LVA,/profile-bio/men/Girts_Dzelde/,,,M
185,Julie McKeon,jmcke,United States,USA,/profile-bio/women/Julie_McKeon/,,,F
186,Orlando Lourenco,olour,ZIM,ZWE,/profile-bio/men/Orlando_Lourenco/,,,M
189,Carlos Di Laura,cdila,PER,PER,/profile-bio/men/Carlos_Di_Laura/,,,M
190,Ivan Kley,ikley,BRA,BRA,/profile-bio/men/Ivan_Kley/,,,M
191,Ehud Kish,ekish,ISR,ISR,/profile-bio/men/Ehud_Kish/,,,M
194,Deddy Tedjamukti,dtedj,INA,IDN,/profile-bio/men/Deddy_Tedjamukti/,,,M
195,Mitch Michulka,mmich,USA,USA,/profile-bio/men/Mitch_Michulka/,,,M
196,Rene Gramminger,rgram,GER,DEU,/profile-bio/men/Rene_Gramminger/,,,M
198,Nicolas Becerra,nbece,ARG,ARG,/profile-bio/men/Nicolas_Becerra/,,,M
199,Michael Bauer,mbaue_2,AUT,AUT,/profile-bio/men/Michael_Bauer/,,,M
200,Mark Styslinger,mstys,USA,USA,/profile-bio/men/Mark_Styslinger/,,,M
202,Madeline Sanchez,msanc_2,Dominican Republic,DOM,/profile-bio/women/Madeline_Sanchez/,,,F
204,John Southcombe,jsout_2,GBR,XXX,/profile-bio/men/John_Southcombe/,,,M
205,Volker Venohr,vveno,GER,DEU,/profile-bio/men/Volker_Venohr/,,,M
206,Jurgen Hager,jhage,AUT,AUT,/profile-bio/men/Jurgen_Hager/,,,M
207,Markus Neuhausen,mneuh,GER,DEU,/profile-bio/men/Markus_Neuhausen/,,,M
208,Shigefusa Kanroji,skanr,JPN,JPN,/profile-bio/men/Shigefusa_Kanroji/,,,M
210,Joe De Foor,jdefo,USA,USA,/profile-bio/men/Joe_De_Foor/,,,M
